timestamp,price
1639356991, 49804.78157528117
1639356842, 49804.78157528117
1639356542, 49875.796874806256
1639356242, 49887.28715335668
1639355942, 49798.77056748841
1639355642, 49935.217707398835
1639355342, 49941.65818644228
1639355042, 49957.99208805177
1639354742, 50104.067727395195
1639354442, 50173.03581103532
1639354142, 50168.73991490501
1639353842, 50169.335763977295
1639353542, 50098.33513638934
1639353242, 50144.89841633574
1639352942, 50024.42627881097
1639352642, 50049.79174441667
1639352342, 50033.16651830359
1639352042, 50143.73858674787
1639351742, 50222.816436353394
1639351442, 50228.778157752844
1639351142, 50254.55078373805
1639350842, 50284.72040327196
1639350542, 50300.8532785138
1639350242, 50276.59676166651
1639349942, 50208.342809738475
1639349642, 50181.04410934863
1639349342, 50238.31008704354
1639349042, 50121.745261263415
1639348742, 50062.74465062358
1639348442, 50023.20455293632
1639348142, 50011.32604734287
1639347842, 49959.209110944445
1639347543, 49987.29322652745
1639347242, 50057.809016860265
1639346942, 50021.90605913671
1639346642, 49998.35676810092
1639346342, 49964.095571280806
1639346042, 49938.996887006935
1639345742, 50024.60563266267
1639345442, 50067.23012564651
1639345142, 50171.53726453226
1639344842, 50259.51704822687
1639344542, 50227.71197350204
1639344242, 50231.68350971379
1639343942, 50293.02840241241
1639343642, 50286.768634232474
1639343342, 50209.50676694607
1639343042, 50228.159873715966
1639342742, 50261.895299115065
1639342442, 50304.616544881486
1639342142, 50333.53569656786
1639341842, 50430.68315727267
1639341542, 50439.31266754092
1639341242, 50522.199873545826
1639340942, 50450.60727730574
1639340642, 50471.00440242263
1639340342, 50371.88659359366
1639340042, 50355.692368196615
1639339742, 50419.170663633035
1639339442, 50329.82711376063
1639339142, 50232.15723229182
1639338842, 50231.569825118524
1639338542, 50187.273849396945
1639338242, 50270.788261449976
1639337942, 50365.48541563736
1639337642, 50359.78655622408
1639337342, 50315.03460183429
1639337042, 50413.532036312885
1639336742, 50457.22702251499
1639336442, 50496.107649389975
1639336142, 50531.97978728838
1639335842, 50600.45126717
1639335542, 50471.05470399393
1639335242, 50443.20091350238
1639334942, 50466.58679687795
1639334642, 50524.31010071382
1639334342, 50577.032522251735
1639334042, 50594.55170027295
1639333742, 50509.1310623118
1639333442, 50599.220946259586
1639333142, 50626.868429516064
1639332842, 50604.3187114647
1639332542, 50414.947726649974
1639332242, 50443.45559579019
1639331943, 50274.649684743315
1639331642, 50233.98191675885
1639331342, 50082.552705318085
1639331042, 50013.00259509768
1639330742, 49874.664435097395
1639330442, 49918.06751761758
1639330142, 50100.352337543794
1639329842, 50222.750333032935
1639329542, 50353.34604053932
1639329242, 50138.18323313006
1639328942, 50123.99450361509
1639328643, 50209.10567216952
1639328342, 49862.39170283652
1639328042, 49788.760341652254
1639327742, 49764.404259354465
1639327442, 49758.92376412127
1639327142, 49798.06601165359
1639326842, 49753.46085443411
1639326542, 49701.84896647097
1639326242, 49572.94095464797
1639325942, 49583.339914595424
1639325642, 49570.22898650675
1639325342, 49657.231604656095
1639325042, 49714.22612385227
1639324742, 49696.310395008775
1639324442, 49694.118731724346
1639324142, 49672.52739893011
1639323842, 49743.80709825346
1639323542, 49734.05031031762
1639323242, 49733.949446240375
1639322943, 49821.59936675766
1639322642, 49837.328885669296
1639322342, 49649.58935206029
1639322042, 49716.794417696976
1639321742, 49785.232704168244
1639321442, 49774.65548006224
1639321142, 49875.3663547201
1639320842, 49870.223031269365
1639320542, 49744.978004354314
1639320242, 49765.15698290579
1639319942, 49638.887112891076
1639319642, 49638.00295875704
1639319342, 49723.77099037878
1639319042, 49835.64043610143
1639318742, 49848.935378113834
1639318442, 49916.50941069153
1639318142, 49820.54192164081
1639317842, 49830.300821695164
1639317542, 49840.38280775809
1639317242, 49636.03299724004
1639316942, 49658.458913939336
1639316642, 49735.778362321136
1639316343, 49696.061454705225
1639316042, 49706.38189597033
1639315742, 49653.688158928926
1639315442, 49651.91122363845
1639315142, 49675.953797455426
1639314842, 49752.41520847351
1639314542, 49636.417321320485
1639314242, 49583.94317903309
1639313942, 49521.78409962025
1639313642, 49504.75512019036
1639313342, 49551.14640669836
1639313042, 49509.96746796543
1639312742, 49453.876670281505
1639312442, 49533.6036095184
1639312142, 49535.479191621635
1639311842, 49477.72099857852
1639311543, 49469.83663921394
1639311242, 49351.32939547517
1639310942, 49161.099081910776
1639310642, 49219.283928490535
1639310342, 49111.36104953892
1639310042, 49115.09256534638
1639309742, 49184.300497303586
1639309442, 49206.17883283988
1639309142, 49076.56544034606
1639308842, 49019.39785641131
1639308542, 49017.53676992624
1639308242, 49012.17907367385
1639307942, 48985.32825504307
1639307642, 48962.82921409532
1639307342, 48902.756142946004
1639307042, 48935.411268863296
1639306742, 48870.41876778417
1639306442, 48828.06962310732
1639306142, 48835.301632605915
1639305842, 48819.57475465022
1639305542, 48805.81195373019
1639305242, 48927.95819502752
1639304942, 48896.06971894743
1639304642, 48836.29758212405
1639304342, 48758.48989145399
1639304042, 48729.334290319166
1639303742, 48755.552671229096
1639303442, 48848.60834028812
1639303142, 48826.67458555769
1639302842, 48872.32728980736
1639302542, 48827.291591762565
1639302242, 48960.65678991362
1639301942, 48992.71717424657
1639301642, 49008.81770432204
1639301342, 49070.10876271469
1639301042, 49071.42336877757
1639300742, 48978.80646950032
1639300442, 49009.59948367936
1639300142, 49032.771502977346
1639299842, 49000.6665349212
1639299542, 49027.18296017992
1639299242, 49065.836903198586
1639298942, 49007.84844791793
1639298642, 49062.017119288554
1639298343, 49125.23321206551
1639298042, 49219.105202151535
1639297742, 49220.52837311193
